data done
2018-01-09 23:33:53.321079: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:53.321115: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:53.321122: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:53.321127: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:53.321132: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:54.701138: I tensorflow/core/common_runtime/gpu/gpu_device.cc:955] Found device 0 with properties: 
name: Tesla P4
major: 6 minor: 1 memoryClockRate (GHz) 1.1135
pciBusID 0000:81:00.0
Total memory: 7.43GiB
Free memory: 7.31GiB
2018-01-09 23:33:54.701204: I tensorflow/core/common_runtime/gpu/gpu_device.cc:976] DMA: 0 
2018-01-09 23:33:54.701220: I tensorflow/core/common_runtime/gpu/gpu_device.cc:986] 0:   Y 
2018-01-09 23:33:54.701241: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P4, pci bus id: 0000:81:00.0)
('Step:', 68, 'loss:', 4.1566162, 'acc:', 0.06897942)
('Step:', 69, 'loss:', 4.1436787, 'acc:', 0.061941966)
('Step:', 70, 'loss:', 4.143991, 'acc:', 0.069041423)
('Step:', 71, 'loss:', 4.1469927, 'acc:', 0.066282243)
('Step:', 72, 'loss:', 4.2148194, 'acc:', 0.065879218)
('Step:', 73, 'loss:', 4.2464743, 'acc:', 0.064949155)
('Step:', 74, 'loss:', 4.2318454, 'acc:', 0.063585065)
('Step:', 75, 'loss:', 4.209466, 'acc:', 0.076822914)
('Step:', 76, 'loss:', 4.1673865, 'acc:', 0.074962802)
('Step:', 77, 'loss:', 4.1211228, 'acc:', 0.088262655)
('Step:', 78, 'loss:', 4.0947967, 'acc:', 0.091021828)
('Step:', 79, 'loss:', 4.13587, 'acc:', 0.080264136)
('Step:', 80, 'loss:', 4.1215544, 'acc:', 0.066189237)
('Step:', 81, 'loss:', 4.093967, 'acc:', 0.083674349)
('Step:', 82, 'loss:', 4.1354427, 'acc:', 0.080016121)
('Step:', 83, 'loss:', 4.1146054, 'acc:', 0.076729916)
('Step:', 84, 'loss:', 4.1310711, 'acc:', 0.07933408)
('Step:', 85, 'loss:', 4.161459, 'acc:', 0.071211562)
('Step:', 86, 'loss:', 4.1484256, 'acc:', 0.06374009)
('Step:', 87, 'loss:', 4.0975113, 'acc:', 0.072916672)
('Step:', 88, 'loss:', 4.1391692, 'acc:', 0.069227427)
('Step:', 89, 'loss:', 4.1636868, 'acc:', 0.063089043)
('Step:', 90, 'loss:', 4.1713338, 'acc:', 0.069599465)
('Step:', 91, 'loss:', 4.1437411, 'acc:', 0.079551101)
('Step:', 92, 'loss:', 4.126503, 'acc:', 0.082434282)
('Step:', 93, 'loss:', 4.1509824, 'acc:', 0.081628233)
('Step:', 94, 'loss:', 4.2213087, 'acc:', 0.066282243)
('Step:', 95, 'loss:', 4.1770296, 'acc:', 0.076729909)
('Step:', 96, 'loss:', 4.1305728, 'acc:', 0.083922371)
('Step:', 97, 'loss:', 4.0909834, 'acc:', 0.09508308)
('Step:', 98, 'loss:', 4.0635185, 'acc:', 0.093315974)
('Step:', 99, 'loss:', 4.0778265, 'acc:', 0.079117067)
('Step:', 100, 'loss:', 4.1455703, 'acc:', 0.073133685)
('Step:', 101, 'loss:', 4.0999041, 'acc:', 0.084232397)
('Step:', 102, 'loss:', 4.1041803, 'acc:', 0.087270595)
('Step:', 103, 'loss:', 4.1165352, 'acc:', 0.083333343)
('Step:', 104, 'loss:', 4.0641279, 'acc:', 0.090773813)
('Step:', 105, 'loss:', 4.0572844, 'acc:', 0.096695192)
('Step:', 106, 'loss:', 4.0669417, 'acc:', 0.091796882)
('Step:', 107, 'loss:', 4.0330367, 'acc:', 0.087115586)
('Step:', 108, 'loss:', 4.0230742, 'acc:', 0.09108384)
('Step:', 109, 'loss:', 3.9805493, 'acc:', 0.098772325)
('Step:', 110, 'loss:', 4.0566359, 'acc:', 0.090401791)
('Step:', 111, 'loss:', 4.1107574, 'acc:', 0.071955614)
('Step:', 112, 'loss:', 4.0756283, 'acc:', 0.081411213)
('Step:', 113, 'loss:', 4.0619254, 'acc:', 0.09021578)
('Step:', 114, 'loss:', 3.9926708, 'acc:', 0.099578373)
('Step:', 115, 'loss:', 3.9955268, 'acc:', 0.094680063)
('Step:', 116, 'loss:', 3.979125, 'acc:', 0.097811267)
('Step:', 117, 'loss:', 3.9693711, 'acc:', 0.099175349)
('Step:', 118, 'loss:', 3.988023, 'acc:', 0.095858142)
('Step:', 119, 'loss:', 4.0688033, 'acc:', 0.091393851)
('Step:', 120, 'loss:', 4.0130472, 'acc:', 0.11114212)
('Step:', 121, 'loss:', 3.9194078, 'acc:', 0.12980533)
('Step:', 122, 'loss:', 3.8805768, 'acc:', 0.12717015)
('Step:', 123, 'loss:', 3.9433014, 'acc:', 0.10664684)
('Step:', 124, 'loss:', 3.9818399, 'acc:', 0.093594991)
('Step:', 125, 'loss:', 4.0044332, 'acc:', 0.083271325)
('Step:', 126, 'loss:', 4.0084882, 'acc:', 0.086247526)
('Step:', 127, 'loss:', 4.0272021, 'acc:', 0.088479668)
('Step:', 128, 'loss:', 3.9750092, 'acc:', 0.10125248)
('Step:', 129, 'loss:', 3.981266, 'acc:', 0.10959202)
('Step:', 130, 'loss:', 4.011405, 'acc:', 0.10221355)
('Step:', 131, 'loss:', 4.0291681, 'acc:', 0.10146949)
('Step:', 132, 'loss:', 3.9997463, 'acc:', 0.1124442)
('Step:', 133, 'loss:', 3.862036, 'acc:', 0.13082838)
